subspace,selection_rule,metric,n_seeds,wins,losses,mean_difference
all_features_k2,conservative_gain,deploy_mse,10,5,5,-0.010676857829093934
all_features_k2,conservative_gain,mean_gain,10,10,0,-0.007160706503782421
all_features_k2,conservative_gain,terminal_risk,10,8,2,-0.01293167769908905
all_features_k2,conservative_gain,volatility,10,5,5,-0.004050538075653672
sensor_only_k1,conservative_gain,deploy_mse,10,9,1,-0.03498184680938721
sensor_only_k1,conservative_gain,mean_gain,10,10,0,-0.009753470765426757
sensor_only_k1,conservative_gain,terminal_risk,10,2,8,0.03504675030708313
sensor_only_k1,conservative_gain,volatility,10,5,5,-0.0063046677283994075
sensor_only_k2,conservative_gain,deploy_mse,10,4,6,0.0022507548332214356
sensor_only_k2,conservative_gain,mean_gain,10,10,0,-0.01608057922916487
sensor_only_k2,conservative_gain,terminal_risk,10,5,5,0.0064951077103614805
sensor_only_k2,conservative_gain,volatility,10,5,5,0.00011741827222024742
sensor_residual_k1,conservative_gain,deploy_mse,10,4,6,0.005063968896865845
sensor_residual_k1,conservative_gain,mean_gain,10,10,0,-0.01532599090714939
sensor_residual_k1,conservative_gain,terminal_risk,10,5,5,0.0017364382743835448
sensor_residual_k1,conservative_gain,volatility,10,4,6,0.002311391605319746
sensor_residual_k2,conservative_gain,deploy_mse,10,7,3,-0.01540733575820923
sensor_residual_k2,conservative_gain,mean_gain,10,10,0,-0.004890065522631631
sensor_residual_k2,conservative_gain,terminal_risk,10,10,0,-0.01568887531757355
sensor_residual_k2,conservative_gain,volatility,10,5,5,-0.004160220645239148
sensor_residual_k3,conservative_gain,deploy_mse,10,8,2,-0.022924375534057618
sensor_residual_k3,conservative_gain,mean_gain,10,9,1,-0.004751517013646666
sensor_residual_k3,conservative_gain,terminal_risk,10,9,1,-0.016010724008083344
sensor_residual_k3,conservative_gain,volatility,10,4,6,-0.00495166382393424
sensor_residual_target_orth_k2,conservative_gain,deploy_mse,10,7,3,-0.0035901665687561035
sensor_residual_target_orth_k2,conservative_gain,mean_gain,10,8,2,-0.0007933985185809456
sensor_residual_target_orth_k2,conservative_gain,terminal_risk,10,6,4,-0.0010401949286460877
sensor_residual_target_orth_k2,conservative_gain,volatility,10,7,3,-0.0025379392492731493
sensor_residual_target_orth_k3,conservative_gain,deploy_mse,10,0,10,0.05873607099056244
sensor_residual_target_orth_k3,conservative_gain,mean_gain,10,7,3,-2.6133139617742774e-05
sensor_residual_target_orth_k3,conservative_gain,terminal_risk,10,0,10,0.043732264637947084
sensor_residual_target_orth_k3,conservative_gain,volatility,10,4,6,0.014659313420165415
sensor_target_orth_k2,conservative_gain,deploy_mse,10,9,1,-0.01699657142162323
sensor_target_orth_k2,conservative_gain,mean_gain,10,6,4,-3.956475411542176e-05
sensor_target_orth_k2,conservative_gain,terminal_risk,10,7,3,-0.00427558571100235
sensor_target_orth_k2,conservative_gain,volatility,10,9,1,-0.004591038839775639
sensor_target_orth_k1,conservative_gain_fallback_mse,deploy_mse,10,7,3,-0.0037425249814987183
sensor_target_orth_k1,conservative_gain_fallback_mse,mean_gain,10,3,7,7.083755102939571e-05
sensor_target_orth_k1,conservative_gain_fallback_mse,terminal_risk,10,8,2,-0.002079060673713684
sensor_target_orth_k1,conservative_gain_fallback_mse,volatility,10,5,5,-0.0006597311253240763
all_features_k2,validation_mse,deploy_mse,10,4,6,0.0352658212184906
all_features_k2,validation_mse,mean_gain,10,10,0,-0.034825651244609616
all_features_k2,validation_mse,terminal_risk,10,3,7,0.05166088193655014
all_features_k2,validation_mse,volatility,10,2,8,0.0386015396402727
sensor_only_k1,validation_mse,deploy_mse,10,9,1,-0.03498184680938721
sensor_only_k1,validation_mse,mean_gain,10,10,0,-0.009753470765426757
sensor_only_k1,validation_mse,terminal_risk,10,2,8,0.03504675030708313
sensor_only_k1,validation_mse,volatility,10,5,5,-0.0063046677283994075
sensor_only_k2,validation_mse,deploy_mse,10,1,9,0.08406530022621155
sensor_only_k2,validation_mse,mean_gain,10,10,0,-0.0268983014265541
sensor_only_k2,validation_mse,terminal_risk,10,3,7,0.07889665216207505
sensor_only_k2,validation_mse,volatility,10,3,7,0.0319211198155555
sensor_residual_k1,validation_mse,deploy_mse,10,0,10,0.10837741792201996
sensor_residual_k1,validation_mse,mean_gain,10,10,0,-0.026544373359065503
sensor_residual_k1,validation_mse,terminal_risk,10,1,9,0.056152789294719695
sensor_residual_k1,validation_mse,volatility,10,1,9,0.0346151575847808
sensor_residual_k2,validation_mse,deploy_mse,10,1,9,0.06941139996051789
sensor_residual_k2,validation_mse,mean_gain,10,10,0,-0.025827576317824424
sensor_residual_k2,validation_mse,terminal_risk,10,3,7,0.062470337748527525
sensor_residual_k2,validation_mse,volatility,10,1,9,0.02349765014292023
sensor_residual_k3,validation_mse,deploy_mse,10,6,4,0.0002586275339126587
sensor_residual_k3,validation_mse,mean_gain,10,10,0,-0.023725486964685842
sensor_residual_k3,validation_mse,terminal_risk,10,3,7,0.021360105276107787
sensor_residual_k3,validation_mse,volatility,10,3,7,0.005054732302755308
sensor_residual_target_orth_k2,validation_mse,deploy_mse,10,0,10,0.04089115858078003
sensor_residual_target_orth_k2,validation_mse,mean_gain,10,9,1,-0.006084818068193272
sensor_residual_target_orth_k2,validation_mse,terminal_risk,10,4,6,0.0022452861070632935
sensor_residual_target_orth_k2,validation_mse,volatility,10,2,8,0.01241571713729472
sensor_residual_target_orth_k3,validation_mse,deploy_mse,10,0,10,0.23124948441982268
sensor_residual_target_orth_k3,validation_mse,mean_gain,10,6,4,-0.001765451879473405
sensor_residual_target_orth_k3,validation_mse,terminal_risk,10,0,10,0.2610993266105652
sensor_residual_target_orth_k3,validation_mse,volatility,10,0,10,0.0358198917421014
sensor_target_orth_k1,validation_mse,deploy_mse,10,7,3,-0.0037425249814987183
sensor_target_orth_k1,validation_mse,mean_gain,10,3,7,7.083755102939571e-05
sensor_target_orth_k1,validation_mse,terminal_risk,10,8,2,-0.002079060673713684
sensor_target_orth_k1,validation_mse,volatility,10,5,5,-0.0006597311253240763
sensor_target_orth_k2,validation_mse,deploy_mse,10,9,1,-0.01699657142162323
sensor_target_orth_k2,validation_mse,mean_gain,10,6,4,-3.956475411542176e-05
sensor_target_orth_k2,validation_mse,terminal_risk,10,7,3,-0.00427558571100235
sensor_target_orth_k2,validation_mse,volatility,10,9,1,-0.004591038839775639
