subspace,selection_rule,selected_lambda,standard_val_mse,standard_val_directional_gain,selected_val_mse,selected_val_directional_gain,n_seeds,deploy_mse_mean,deploy_mse_std,volatility_mean,volatility_std,mean_gain_mean,mean_gain_std,terminal_risk_mean,terminal_risk_std
sensor_only_k1,conservative_gain,0.03,0.5185703635215759,0.18272410853155727,0.504910159111023,0.1475082700005893,10,0.4144668191671371,0.04674512806205721,0.06680888363795304,0.02181469207752467,0.0693530086253304,0.00610019255137616,0.20036358535289764,0.058156222063236694
sensor_residual_k3,conservative_gain,0.01,0.5185703635215759,0.2734497504398741,0.48010995984077454,0.24255823201146623,10,0.42652429044246676,0.04725416918975883,0.06816188754241823,0.020568525640515062,0.07435496237711049,0.008268398333017913,0.14930611103773117,0.014360096101446371
sensor_target_orth_k2,conservative_gain,0.003,0.5185703635215759,0.04776595477400155,0.515467643737793,0.04112901340270865,10,0.43245209455490113,0.05829743359884549,0.06852251252657682,0.019769822234211903,0.07906691463664173,0.008456815543923206,0.16104124933481218,0.02790800227640999
sensor_residual_k2,conservative_gain,0.01,0.5185703635215759,0.2592775953227076,0.4871602803468704,0.23173737049102786,10,0.43404133021831515,0.05018850622705607,0.06895333072111332,0.021210137381029694,0.07421641386812552,0.007479710712112363,0.14962795972824097,0.015446148691686949
all_features_k2,conservative_gain,0.01,0.5185703635215759,0.2399520553391555,0.48944929540157317,0.22251250760308627,10,0.43877180814743044,0.06626358357513629,0.06906301329069878,0.021333144885530914,0.07194577288697475,0.007206533138914864,0.15238515734672547,0.023445024342721624
sensor_residual_target_orth_k2,conservative_gain,0.003,0.5185703635215759,0.08738390289503953,0.516706907749176,0.07946466976198656,10,0.4458584994077682,0.06843047108685021,0.07057561211707931,0.021038270136219978,0.07831308087217621,0.008047955251732608,0.16427664011716842,0.03457868951494157
sensor_only_k2,conservative_gain,0.03,0.5185703635215759,0.2029549111991093,0.4972363501787186,0.17603062119977228,10,0.4516994208097458,0.06117613649796615,0.0732309696385727,0.019426549167725304,0.0630259001615923,0.0054880065480895504,0.171811942756176,0.05131505189236989
sensor_residual_k1,conservative_gain,0.03,0.5185703635215759,0.19048917096236656,0.47802641093730924,0.16742770211449987,10,0.4545126348733902,0.07682883365463754,0.07542494297167221,0.02353490927648638,0.06378048848360778,0.006464075012310438,0.16705327332019806,0.0322190981153441
sensor_residual_target_orth_k3,conservative_gain,0.01,0.5185703635215759,0.2107490222207431,0.5109818160533905,0.14251803743428199,10,0.5081847369670868,0.08041912684577668,0.08777286478651787,0.036122837827518114,0.07908034625113942,0.008159846271514419,0.2090490996837616,0.06331602071298569
sensor_target_orth_k1,conservative_gain_fallback_mse,0.003,0.5185703635215759,0.033665589577165145,0.5299034893512726,0.03064039653745191,10,0.44570614099502565,0.06543873479294379,0.07245382024102838,0.022624478331433506,0.07917731694178656,0.008032498464536015,0.16323777437210082,0.0325061886565116
sensor_only_k1,validation_mse,0.03,0.5185703635215759,0.18272410853155727,0.504910159111023,0.1475082700005893,10,0.4144668191671371,0.04674512806205721,0.06680888363795304,0.02181469207752467,0.0693530086253304,0.00610019255137616,0.20036358535289764,0.058156222063236694
sensor_target_orth_k2,validation_mse,0.003,0.5185703635215759,0.04776595477400155,0.515467643737793,0.04112901340270865,10,0.43245209455490113,0.05829743359884549,0.06852251252657682,0.019769822234211903,0.07906691463664173,0.008456815543923206,0.16104124933481218,0.02790800227640999
sensor_target_orth_k1,validation_mse,0.003,0.5185703635215759,0.033665589577165145,0.5299034893512726,0.03064039653745191,10,0.44570614099502565,0.06543873479294379,0.07245382024102838,0.022624478331433506,0.07917731694178656,0.008032498464536015,0.16323777437210082,0.0325061886565116
sensor_residual_k3,validation_mse,0.08,0.5185703635215759,0.2734497504398741,0.34106909334659574,0.16788373634733003,10,0.44970729351043703,0.05483195514212685,0.07816828366910776,0.011196092530632288,0.05538099242607132,0.005309575108178797,0.1866769403219223,0.04136010162422173
all_features_k2,validation_mse,0.08,0.5185703635215759,0.2399520553391555,0.3708526223897934,0.1321351746855111,10,0.484714487195015,0.07668904869686935,0.11171509100662516,0.03140302286652022,0.04428082814614754,0.004375272278173171,0.21697771698236465,0.08057439665427737
sensor_residual_target_orth_k2,validation_mse,0.08,0.5185703635215759,0.08738390289503953,0.4939390629529953,0.027674281494370824,10,0.4903398245573044,0.06263838262404418,0.08552926850364719,0.027631141590679646,0.0730216613225639,0.008505856638067969,0.1675621211528778,0.033920770982418316
sensor_residual_k2,validation_mse,0.08,0.5185703635215759,0.2592775953227076,0.4058933585882187,0.16099811701939024,10,0.5188600659370423,0.07852024123426994,0.09661120150927269,0.017257196624471713,0.053278903072932725,0.00545098288979355,0.22778717279434205,0.07358369555948184
sensor_only_k2,validation_mse,0.08,0.5185703635215759,0.2029549111991093,0.4486908257007599,0.15046565187388453,10,0.533513966202736,0.09398727918202286,0.10503467118190794,0.02834195582044946,0.05220817796420305,0.004864445516722147,0.24421348720788955,0.09568762843237019
sensor_residual_k1,validation_mse,0.08,0.5185703635215759,0.19048917096236656,0.46057877540588377,0.14218834794800858,10,0.5578260838985443,0.10647209771902562,0.10772870895113325,0.026243459086280504,0.05256210603169166,0.006193045626979037,0.22146962434053422,0.053087412308597086
sensor_residual_target_orth_k3,validation_mse,0.08,0.5185703635215759,0.2107490222207431,0.4725392937660217,0.04233930637096536,10,0.6806981503963471,0.10617563466320347,0.10893344310845385,0.02434373224236108,0.07734102751128376,0.005963251487583443,0.4264161616563797,0.11809546887341867
