dataset_key,dataset,target,score,score_label,n,point_spearman,bootstrap_mean,ci_low,ci_high,n_bootstrap_finite
air_quality,Air Quality,sq_change_same,s2,Drift $s_t^2$,190,0.17332324766296803,0.17289674514425912,0.10037629985996281,0.23861982016723543,2000
air_quality,Air Quality,sq_change_same,gain,Gain $g_t$,190,0.1045169643130514,0.10482435519124289,0.049827296415776094,0.1608693921472564,2000
air_quality,Air Quality,sq_change_same,h_raw,Product $h_t$,190,0.15249729909415774,0.1530691283853665,0.05927017908301711,0.25064205977043663,2000
air_quality,Air Quality,sq_change_same,h_roll2,Roll-2 $h_t$,180,0.12796897023570686,0.12412409639226714,0.03955582755388125,0.20662182109644395,2000
air_quality,Air Quality,sq_change_same,log_h,Log product,190,0.15249729909415774,0.1505080185757712,0.054602355607245655,0.24309025429166936,2000
air_quality,Air Quality,sq_change_same,log_h_roll2,Roll-2 log product,180,0.0027758058376287334,-0.0009732930540223532,-0.05209145693661137,0.055946643339511395,2000
air_quality,Air Quality,sq_change_next,s2,Drift $s_t^2$,180,0.1692969930974593,0.16786935701870054,0.12034129733035961,0.21185513688059587,2000
air_quality,Air Quality,sq_change_next,gain,Gain $g_t$,180,-0.09934874533164605,-0.0991531902780645,-0.14706381590766895,-0.05535319997336109,2000
air_quality,Air Quality,sq_change_next,h_raw,Product $h_t$,180,0.04409601119376113,0.042705689772988636,-0.02181497990455435,0.09424194256117961,2000
air_quality,Air Quality,sq_change_next,h_roll2,Roll-2 $h_t$,170,0.30688503367712705,0.3070069387151557,0.24786746266792634,0.3707429402925927,2000
air_quality,Air Quality,sq_change_next,log_h,Log product,180,0.04409601119376113,0.042787577478414204,-0.022454737379518107,0.0963666235225701,2000
air_quality,Air Quality,sq_change_next,log_h_roll2,Roll-2 log product,170,0.285641880545429,0.28743433669869967,0.21938720322196034,0.36039001842304963,2000
tetouan_zone1_power,Tetouan,sq_change_same,s2,Drift $s_t^2$,50,-0.1587586902462082,-0.14581896753623336,-0.2275212919648011,-0.014686002136799789,2000
tetouan_zone1_power,Tetouan,sq_change_same,gain,Gain $g_t$,50,0.3610564225690276,0.31391243328977386,0.020316763489982865,0.5625000000000001,2000
tetouan_zone1_power,Tetouan,sq_change_same,h_raw,Product $h_t$,50,0.2883553421368547,0.2485681228601071,-0.036645807501910044,0.4621530265688867,2000
tetouan_zone1_power,Tetouan,sq_change_same,h_roll2,Roll-2 $h_t$,40,0.29699812382739216,0.24941979933217345,-0.018224598834911076,0.49324912948064553,2000
tetouan_zone1_power,Tetouan,sq_change_same,log_h,Log product,50,0.2883553421368547,0.25826939214500144,-0.009120478910779065,0.46687509018759005,2000
tetouan_zone1_power,Tetouan,sq_change_same,log_h_roll2,Roll-2 log product,40,0.26829268292682934,0.22438227672126373,-0.035776126121025445,0.47448259832052797,2000
tetouan_zone1_power,Tetouan,sq_change_next,s2,Drift $s_t^2$,40,-0.3389919943489011,-0.3315340255074498,-0.5217077995421386,-0.08333110167606807,2000
tetouan_zone1_power,Tetouan,sq_change_next,gain,Gain $g_t$,40,0.32795497185741096,0.27441036109659117,0.04179154524154827,0.4650610902255637,2000
tetouan_zone1_power,Tetouan,sq_change_next,h_raw,Product $h_t$,40,0.2176360225140713,0.19289371032453806,-0.12101742434528755,0.4711376937565526,2000
tetouan_zone1_power,Tetouan,sq_change_next,h_roll2,Roll-2 $h_t$,30,0.3045606229143492,0.2221040580908951,-0.25364699199148544,0.6321590310794856,2000
tetouan_zone1_power,Tetouan,sq_change_next,log_h,Log product,40,0.2176360225140713,0.1934872406110935,-0.1263798623171282,0.47410691664286675,2000
tetouan_zone1_power,Tetouan,sq_change_next,log_h_roll2,Roll-2 log product,30,0.24849833147942155,0.18435839247933597,-0.3415568461023007,0.6055408298249617,2000
